pupil_id,bus_id,student_category,boarding_stop,exit_stop,school,school_type,travel_time_minutes,max_allowed_minutes,within_limit,max_waiting_time,max_transfers
373,N1,elementary,"Neetze, Am Ried","Scharnebeck, Schulzentrum",GS Rudolf-Steiner-Schule,Grundschule,17.6,45,True,30,0
4,N1,elementary,"Barförde, Poggenort","Hohnstorf, Schule",GS Hohnstorf,Grundschule,34.5,45,True,30,0
555,N1,secondary,"Wendewisch, Hittberger Straße 59","Bleckede, Schulzentrum",Gym Bleckede,Gymnasium,40.1,60,True,45,1
547,N1,elementary,"Wendewisch, Hittberger Straße 59","Bleckede, Elbtalhaus",GS Bleckede,Grundschule,42.3,45,True,30,0
354,N1,vocational,"Neetze, Am Dorfplatz","Scharnebeck, Schulzentrum",BBS III,Berufsschule,16.0,90,True,45,1
355,N1,vocational,"Neetze, Am Dorfplatz","Scharnebeck, Schulzentrum",BBS III,Berufsschule,16.0,90,True,45,1
245,N1,secondary,"Hohnstorf, Ernst-Kissolewski-Straße","Scharnebeck, Schulzentrum",Gym Scharnebeck,Gymnasium,7.5,60,True,45,1
546,N1,vocational,"Wendewisch, Campingplatz","Scharnebeck, Schulzentrum",BBS III Oedeme,Berufsschule,26.1,90,True,45,1
249,N1,secondary,"Hohnstorf, Ernst-Kissolewski-Straße","Scharnebeck, Schulzentrum",Oberschule Scharnebeck,Oberschule,7.5,60,True,45,1
258,N1,secondary,"Hohnstorf, Ernst-Kissolewski-Straße","Bleckede, Schulzentrum",Gym Bleckede,Gymnasium,22.5,60,True,45,1
241,N1,secondary,"Hohnstorf, Ernst-Kissolewski-Straße","Scharnebeck, Schulzentrum",Gym Scharnebeck,Gymnasium,7.5,60,True,45,1
418,N1,secondary,"Neetze, Neetzebrücke","Scharnebeck, Schulzentrum",IGS Lüneburg,Gesamtschule,15.0,60,True,45,1
244,N1,secondary,"Hohnstorf, Ernst-Kissolewski-Straße","Scharnebeck, Schulzentrum",Gym Scharnebeck,Gymnasium,7.5,60,True,45,1
254,N1,secondary,"Hohnstorf, Ernst-Kissolewski-Straße","Bleckede, Schulzentrum",Gym Bleckede,Gymnasium,22.5,60,True,45,1
426,N2,elementary,"Neu Neetze, Am Milchberg","Neetze, Grundschule",GS Neetze,Grundschule,9.0,45,True,30,0
427,N2,elementary,"Neu Neetze, Am Milchberg","Neetze, Grundschule",GS Neetze,Grundschule,9.0,45,True,30,0
34,N2,elementary,"Boltersen, Bahnhofstraße","Neetze, Am Dorfplatz",GS Neetze,Grundschule,24.8,45,True,30,0
410,N2,secondary,"Neetze, Grundschule","Bleckede, Schulzentrum",Gym Bleckede,Gymnasium,8.3,60,True,45,1
84,N2,secondary,"Brackede, Pferdekoppel","Bleckede, Schulzentrum",Gym Bleckede,Gymnasium,24.8,60,True,45,1
81,N2,secondary,"Brackede, Pferdekoppel","Bleckede, Schulzentrum",Gym Bleckede,Gymnasium,24.8,60,True,45,1
428,N2,secondary,"Neu Neetze, Am Milchberg","Bleckede, Schulzentrum",Gym Bleckede,Gymnasium,17.3,60,True,45,1
401,N2,secondary,"Neetze, Grundschule","Bleckede, Schulzentrum",Gym Bleckede,Gymnasium,8.3,60,True,45,1
404,N2,secondary,"Neetze, Grundschule","Bleckede, Schulzentrum",Gym Bleckede,Gymnasium,8.3,60,True,45,1
429,N2,secondary,"Neu Neetze, Am Milchberg","Bleckede, Schulzentrum",Gym Bleckede,Gymnasium,17.3,60,True,45,1
390,N2,secondary,"Neetze, Bahnhof","Bleckede, Schulzentrum",Gym Bleckede,Gymnasium,9.8,60,True,45,1
439,N3,elementary,"Neu Neetze, Birkenhof","Bleckede, Elbtalhaus",GS Bleckede,Grundschule,16.8,45,True,30,0
10,N3,vocational,"Bleckede, Marschweg","Scharnebeck, Schulzentrum",BBS I,Berufsschule,8.1,90,True,45,1
215,N3,secondary,"Hohnstorf, Am Sportzentrum","Scharnebeck, Schulzentrum",Gym Scharnebeck,Gymnasium,15.6,60,True,45,1
234,N3,secondary,"Hohnstorf, Dorfstraße","Scharnebeck, Schulzentrum",Oberschule Scharnebeck,Oberschule,16.0,60,True,45,1
433,N3,elementary,"Neu Neetze, Birkenhof","Neetze, Am Dorfplatz",GS Neetze,Grundschule,31.8,45,True,30,0
233,N3,secondary,"Hohnstorf, Dorfstraße","Scharnebeck, Schulzentrum",Oberschule Scharnebeck,Oberschule,16.0,60,True,45,1
235,N3,secondary,"Hohnstorf, Dorfstraße","Scharnebeck, Schulzentrum",Oberschule Scharnebeck,Oberschule,16.0,60,True,45,1
242,N3,secondary,"Hohnstorf, Ernst-Kissolewski-Straße","Scharnebeck, Schulzentrum",Gym Scharnebeck,Gymnasium,31.8,60,True,45,1
232,N3,secondary,"Hohnstorf, Dorfstraße","Scharnebeck, Schulzentrum",Oberschule Scharnebeck,Oberschule,16.0,60,True,45,1
278,N3,secondary,"Hohnstorf, Kindergarten","Scharnebeck, Schulzentrum",Oberschule Scharnebeck,Oberschule,16.8,60,True,45,1
2,N4,elementary,"Barförde, Barförder Elbdeich 22","Hohnstorf, Schule",GS Hohnstorf,Grundschule,17.5,45,True,30,0
190,N4,elementary,"Hittbergen, Kirche","Hohnstorf, Schule",GS Hohnstorf,Grundschule,8.4,45,True,30,0
198,N4,elementary,"Hittbergen, Roggenberg","Hohnstorf, Schule",GS Hohnstorf,Grundschule,10.0,45,True,30,0
173,N4,elementary,"Hittbergen, Feldstraße","Hohnstorf, Schule",GS Hohnstorf,Grundschule,9.0,45,True,30,0
166,N4,elementary,"Hittbergen, Feldstraße","Hohnstorf, Schule",GS Hohnstorf,Grundschule,9.0,45,True,30,0
180,N4,elementary,"Hittbergen, Im Kamp","Hohnstorf, Schule",GS Hohnstorf,Grundschule,7.5,45,True,30,0
3,N4,elementary,"Barförde, Barförder Elbdeich 22","Hohnstorf, Schule",GS Hohnstorf,Grundschule,17.5,45,True,30,0
544,N4,secondary,"Vogelsang, Ort","Bleckede, Schulzentrum",Gym Bleckede,Gymnasium,34.0,60,True,45,1
184,N4,secondary,"Hittbergen, Im Kamp","Bleckede, Schulzentrum",Gym Bleckede,Gymnasium,15.0,60,True,45,1
285,N4,secondary,"Hohnstorf, Schule","Scharnebeck, Schulzentrum",Oberschule Scharnebeck,Oberschule,15.0,60,True,45,1
286,N4,secondary,"Hohnstorf, Schule","Scharnebeck, Schulzentrum",Oberschule Scharnebeck,Oberschule,15.0,60,True,45,1
204,N4,secondary,"Hittbergen, Schönfeld","Bleckede, Schulzentrum",Gym Bleckede,Gymnasium,26.5,60,True,45,1
159,N4,secondary,"Hittbergen, Kirche","Bleckede, Schulzentrum",Gym Bleckede,Gymnasium,15.9,60,True,45,1
1,N4,elementary,"Barförde, Barförder Elbdeich 22","Hohnstorf, Schule",GS Hohnstorf,Grundschule,17.5,45,True,30,0
289,N4,secondary,"Hohnstorf, Schule","Bleckede, Schulzentrum",Gym Bleckede,Gymnasium,7.5,60,True,45,1
425,N4,secondary,"Neu Jörgenstorf, Ort","Bleckede, Schulzentrum",Gym Bleckede,Gymnasium,41.5,60,True,45,1
186,N4,secondary,"Hittbergen, Im Kamp","Bleckede, Schulzentrum",Gym Bleckede,Gymnasium,15.0,60,True,45,1
117,N5,elementary,"Echem, Schulstraße","Hohnstorf, Schule",GS Hohnstorf,Grundschule,30.1,45,True,30,0
201,N5,elementary,"Hittbergen, Roggenberg","Hohnstorf, Schule",GS Hohnstorf,Grundschule,36.7,45,True,30,0
100,N5,vocational,"Bullendorf bei Echem, Brücke","Scharnebeck, Schulzentrum",BBS II,Berufsschule,40.5,90,True,45,1
528,N5,secondary,"Scharnebeck, Lüneburger Straße","Scharnebeck, Schulzentrum",IGS Lüneburg,Gesamtschule,28.3,60,True,45,1
529,N5,secondary,"Scharnebeck, Lüneburger Straße","Scharnebeck, Schulzentrum",IGS Lüneburg,Gesamtschule,28.3,60,True,45,1
225,N5,vocational,"Hohnstorf, Am Sportzentrum","Scharnebeck, Schulzentrum",BBS I,Berufsschule,9.3,90,True,45,1
219,N5,secondary,"Hohnstorf, Am Sportzentrum","Scharnebeck, Schulzentrum",Oberschule Scharnebeck,Oberschule,9.3,60,True,45,1
282,N5,secondary,"Hohnstorf, Schule","Scharnebeck, Schulzentrum",Gym Scharnebeck,Gymnasium,7.5,60,True,45,1
399,N5,secondary,"Neetze, Grundschule","Bleckede, Schulzentrum",Gym Bleckede,Gymnasium,24.3,60,True,45,1
87,N5,elementary,"Bullendorf bei Echem, Am Buscheberg","Hohnstorf, Schule",GS Hohnstorf,Grundschule,33.9,45,True,30,0
343,N5,secondary,"Neetze, Am Dorfplatz","Bleckede, Schulzentrum",Gym Bleckede,Gymnasium,25.2,60,True,45,1
293,N5,secondary,"Hohnstorf, Schule","Bleckede, Schulzentrum",RS Bleckede,Realschule,15.0,60,True,45,1
224,N5,vocational,"Hohnstorf, Am Sportzentrum","Scharnebeck, Schulzentrum",BBS III,Berufsschule,9.3,90,True,45,1
218,N5,secondary,"Hohnstorf, Am Sportzentrum","Scharnebeck, Schulzentrum",Oberschule Scharnebeck,Oberschule,9.3,60,True,45,1
222,N5,secondary,"Hohnstorf, Am Sportzentrum","Scharnebeck, Schulzentrum",IGS Lüneburg,Gesamtschule,9.3,60,True,45,1
291,N5,secondary,"Hohnstorf, Schule","Bleckede, Schulzentrum",Gym Bleckede,Gymnasium,15.0,60,True,45,1
214,N5,secondary,"Hohnstorf, Am Sportzentrum","Scharnebeck, Schulzentrum",Gym Scharnebeck,Gymnasium,9.3,60,True,45,1
105,N5,vocational,Echem,"Scharnebeck, Schulzentrum",BBS I,Berufsschule,35.8,90,True,45,1
411,N5,secondary,"Neetze, Grundschule","Bleckede, Schulzentrum",Gym Bleckede,Gymnasium,24.3,60,True,45,1
333,N5,secondary,"Neetze, Am Dorfplatz","Bleckede, Schulzentrum",Gym Bleckede,Gymnasium,25.2,60,True,45,1
532,N5,vocational,"Scharnebeck, Lüneburger Straße","Scharnebeck, Schulzentrum",BBS II,Berufsschule,28.3,90,True,45,1
511,N5,secondary,"Scharnebeck, Adendorfer Straße","Scharnebeck, Schulzentrum",IGS Kreideberg,Gesamtschule,26.8,60,True,45,1
527,N5,vocational,"Scharnebeck, Lübbelau","Scharnebeck, Schulzentrum",BBS I,Berufsschule,26.0,90,True,45,1
