bus_id,region,bus_type,capacity,num_pupils,capacity_utilization,elementary_pupils,secondary_pupils,vocational_pupils,num_stops,num_schools,schools,stops_sequence,total_distance_km,total_time_minutes
N1,North,18m,100,14,14.0%,3,8,3,7,4,"Scharnebeck, Schulzentrum → Hohnstorf, Schule → Bleckede, Schulzentrum → Bleckede, Elbtalhaus","Barförde, Poggenort → Wendewisch, Campingplatz → Wendewisch, Hittberger Straße 59 → Neetze, Am Ried → Neetze, Am Dorfplatz → Neetze, Neetzebrücke → Hohnstorf, Ernst-Kissolewski-Straße",39.43,59.1
N2,North,18m,100,11,11.0%,3,8,0,5,3,"Neetze, Grundschule → Neetze, Am Dorfplatz → Bleckede, Schulzentrum","Boltersen, Bahnhofstraße → Brackede, Pferdekoppel → Neu Neetze, Am Milchberg → Neetze, Bahnhof → Neetze, Grundschule",31.54,47.3
N3,North,18m,100,10,10.0%,2,7,1,6,3,"Bleckede, Elbtalhaus → Scharnebeck, Schulzentrum → Neetze, Am Dorfplatz","Hohnstorf, Ernst-Kissolewski-Straße → Neu Neetze, Birkenhof → Hohnstorf, Kindergarten → Hohnstorf, Dorfstraße → Hohnstorf, Am Sportzentrum → Bleckede, Marschweg",36.19,54.3
N4,North,18m,100,17,17.0%,8,9,0,9,3,"Hohnstorf, Schule → Bleckede, Schulzentrum → Scharnebeck, Schulzentrum","Neu Jörgenstorf, Ort → Vogelsang, Ort → Hittbergen, Schönfeld → Barförde, Barförder Elbdeich 22 → Hittbergen, Roggenberg → Hittbergen, Feldstraße → Hittbergen, Kirche → Hittbergen, Im Kamp → Hohnstorf, Schule",42.65,64.0
N5,North,18m,100,45,45.0%,4,30,11,17,3,"Hohnstorf, Schule → Scharnebeck, Schulzentrum → Bleckede, Schulzentrum","Jürgenstorf, Jürgenstorfer Straße → Hittbergen, Roggenberg → Hittbergen, Im Kamp → Bullendorf bei Echem, Am Buscheberg → Bullendorf bei Echem, Brücke → Echem, Schulstraße → Echem, Dorfstraße → Echem → Scharnebeck, Lüneburger Straße → Scharnebeck, Hauptstraße",49.48,74.2
N6,North,18m,100,25,25.0%,24,1,0,11,4,"Bleckede, Elbtalhaus → Scharnebeck, Grundschule → Scharnebeck, Schulzentrum → Neetze, Grundschule","Bleckede Mühlenweg (Garlstorf) 6 → Garlstorf bei Bleckede, Dorfstraße 68 → Garze, Große Straße 29 → Garze, Große Straße 71 → Karze, An den Hauskoppeln → Neu Boltersen, Neumühler Weg → Neu Boltersen, Möhlenkamp → Rullstorf, Alte Dorfstraße → Rullstorf, Im Ort → Neetze, Am Ried",54.33,81.5
N8,North,18m,100,29,29.0%,10,18,1,11,4,"Neetze, Grundschule → Bleckede, Schulzentrum → Bleckede, Elbtalhaus → Scharnebeck, Schulzentrum","Brackede, Pferdekoppel → Bleckeder Moor, Fuchsweg → Bleckeder Moor, Zweiter Moorweg → Neu Neetze, Haus Nr. 50 → Neu Neetze, Denker → Garlstorf bei Bleckede, Dorfstraße 68 → Garlstorf bei Bleckede, Dorfstraße 36 → Neetze, Am Ried → Neetze, Bahnhof → Neetze, Am Dorfplatz",46.41,69.6
N9,North,18m,100,17,17.0%,4,11,2,7,3,"Scharnebeck, Grundschule → Scharnebeck, Schulzentrum → Bleckede, Schulzentrum","Bullendorf bei Echem, Am Buscheberg → Neu Neetze, Birkenhof → Bleckeder Moor, Zweiter Moorweg → Boltersen, Rullstorfer Straße → Rullstorf, Alte Dorfstraße → Rullstorf, Im Ort → Scharnebeck, Meisterstraße",39.39,59.1
N10,North,18m,100,4,4.0%,4,0,0,3,1,"Bleckede, Elbtalhaus","Brackede, Pferdekoppel → Garze, Große Straße 29 → Bleckeder Moor, Fuchsweg",22.2,33.3
N11,North,18m,100,9,9.0%,1,8,0,4,2,"Scharnebeck, Schulzentrum → Hohnstorf, Schule","Hittbergen, Kirche → Jürgenstorf, Jürgenstorfer Straße → Hohnstorf, Kindergarten → Hohnstorf, Dorfstraße",30.53,45.8
N12,North,18m,100,20,20.0%,3,10,7,6,2,"Scharnebeck, Grundschule → Scharnebeck, Schulzentrum","Hohnstorf, Ernst-Kissolewski-Straße → Scharnebeck, Lüneburger Straße → Neumühlen bei Rullstorf → Boltersen, Bahnhof → Boltersen, Rullstorfer Straße → Scharnebeck, Bardowicker Straße",36.72,55.1
N13,North,18m,100,13,13.0%,6,7,0,8,3,"Bleckede, Töpferdamm → Bleckede, Schulzentrum → Hohnstorf, Schule","Hohnstorf, Ernst-Kissolewski-Straße → Bleckeder Moor, Fuchsweg → Bleckeder Moor, Zweiter Moorweg → Neu Neetze, Birkenhof → Bullendorf bei Echem, Am Buscheberg → Hittbergen, Im Kamp → Hittbergen, Kirche → Hittbergen, Feldstraße",36.86,55.3
N14,North,18m,100,6,6.0%,2,4,0,3,2,"Scharnebeck, Grundschule → Bleckede, Schulzentrum","Hohnstorf, Bundesstraße 10 → Boltersen, Rullstorfer Straße → Brackede, Pferdekoppel",30.0,45.0
N15,North,18m,100,7,7.0%,2,5,0,4,3,"Hohnstorf, Schule → Bleckede, Schulzentrum → Scharnebeck, Schulzentrum","Hittbergen, Feldstraße → Hittbergen, Schönfeld → Lüdersburg, Kirchtwiete → Hohnstorf, Triftweg",35.43,53.1
N16,North,18m,100,10,10.0%,5,5,0,5,3,"Scharnebeck, Grundschule → Bleckede, Elbtalhaus → Bleckede, Schulzentrum","Boltersen, Bahnhofstraße → Vogelsang, Ort → Radegast, Elbuferstraße 41 → Radegast, Zum Kirchplatz → Garlstorf bei Bleckede, Dorfstraße 68",37.12,55.7
N17,North,18m,100,9,9.0%,2,3,4,6,3,"Scharnebeck, Schulzentrum → Bleckede, Töpferdamm → Bleckede, Elbtalhaus","Karze, An den Hauskoppeln → Bleckeder Moor, Zweiter Moorweg → Echem → Echem, Dorfstraße → Scharnebeck, Bardowicker Straße → Scharnebeck, Lübbelau",33.27,49.9
N18,North,18m,100,15,15.0%,10,3,2,7,3,"Scharnebeck, Schulzentrum → Scharnebeck, Grundschule → Bleckede, Elbtalhaus","Brackede, Abzweig Garlstorf → Karze, An den Hauskoppeln → Garze, Große Straße 71 → Garze, Große Straße 29 → Rullstorf, Alte Dorfstraße → Rullstorf, Im Ort → Rullstorf, Boltersener Straße",37.9,56.9
N19,North,18m,100,13,13.0%,6,7,0,5,2,"Bleckede, Elbtalhaus → Bleckede, Schulzentrum","Jürgenstorf, Jürgenstorfer Straße → Karze, An den Hauskoppeln → Garze, Große Straße 71 → Garze, Große Straße 29 → Wendewisch, Hittberger Straße 59",28.12,42.2
N20,North,18m,100,12,12.0%,5,4,3,8,3,"Bleckede, Elbtalhaus → Scharnebeck, Grundschule → Scharnebeck, Schulzentrum","Garlstorf bei Bleckede, Dorfstraße 36 → Garlstorf bei Bleckede, Neu Brackede → Echem → Echem, Dorfstraße → Echem, Schulstraße → Boltersen, Bahnhofstraße → Boltersen, Rullstorfer Straße → Bleckede, Rathaus",38.02,57.0
N21,North,18m,100,51,51.0%,3,41,7,16,3,"Neetze, Grundschule → Scharnebeck, Schulzentrum → Bleckede, Schulzentrum","Jürgenstorf, Jürgenstorfer Straße → Lüdersburg, Kirchtwiete → Bockelkathen, Auf dem Kreuze → Rullstorf, Am Neetzekanal → Rullstorf, Alte Dorfstraße → Rullstorf, Im Ort → Scharnebeck, Meisterstraße → Scharnebeck, Bardowicker Straße → Hohnstorf, Ernst-Kissolewski-Straße → Neu Neetze, Birkenhof",52.81,79.2
N22,North,12m,70,39,55.7%,10,24,5,13,4,"Scharnebeck, Schulzentrum → Bleckede, Schulzentrum → Hohnstorf, Schule → Scharnebeck, Grundschule","Boltersen, Bahnhofstraße → Boltersen, Rullstorfer Straße → Neetze, Neetzebrücke → Hohnstorf, Ernst-Kissolewski-Straße → Hohnstorf, Triftweg → Hohnstorf, Schule → Hohnstorf, Am Sportzentrum → Hohnstorf, Dorfstraße → Bullendorf bei Echem, Am Buscheberg → Hittbergen, Im Kamp",58.43,87.6
N23,North,12m,70,20,28.6%,7,7,6,12,5,"Scharnebeck, Schulzentrum → Bleckede, Schulzentrum → Neetze, Grundschule → Scharnebeck, Grundschule → Bleckede, Elbtalhaus","Jürgenstorf, Jürgenstorfer Straße → Lüdersburg, Kirchtwiete → Hohnstorf, Triftweg → Hohnstorf, Schule → Hohnstorf, Am Sportzentrum → Hohnstorf, Dorfstraße → Neu Neetze, Birkenhof → Neu Neetze, Am Milchberg → Rullstorf, K 2/Zum Bahnhof → Rullstorf, Im Ort",60.49,90.7
N24,North,12m,70,53,75.7%,6,43,4,15,3,"Bleckede, Schulzentrum → Scharnebeck, Schulzentrum → Hohnstorf, Schule","Jürgenstorf, Jürgenstorfer Straße → Lüdersburg, Kirchtwiete → Boltersen, Bahnhofstraße → Boltersen, Rullstorfer Straße → Neetze, Neetzebrücke → Neetze, Am Dorfplatz → Neetze, Bahnhof → Neetze, Grundschule → Hohnstorf, Ernst-Kissolewski-Straße → Hohnstorf (Elbe) Rehwiese 26",48.5,72.8
N25,North,12m,70,36,51.4%,8,26,2,13,4,"Bleckede, Schulzentrum → Scharnebeck, Grundschule → Scharnebeck, Schulzentrum → Neetze, Am Dorfplatz","Jürgenstorf, Jürgenstorfer Straße → Hohnstorf, Ernst-Kissolewski-Straße → Scharnebeck, Lübbelau → Scharnebeck, Bardowicker Straße → Scharnebeck, Meisterstraße → Rullstorf, Im Ort → Boltersen, Bahnhofstraße → Boltersen, Rullstorfer Straße → Neetze, Am Jahnstadion → Neetze, Am Dorfplatz",55.11,82.7
N26,North,12m,70,9,12.9%,2,7,0,6,2,"Bleckede, Schulzentrum → Bleckede, Elbtalhaus","Hohnstorf, Ernst-Kissolewski-Straße → Neetze, Am Jahnstadion → Neetze, Am Dorfplatz → Garze, Große Straße 71 → Garze, Große Straße 29 → Bleckeder Moor, Am Papenkamp",28.39,42.6
N27,North,12m,70,36,51.4%,7,24,5,13,4,"Scharnebeck, Schulzentrum → Bleckede, Elbtalhaus → Bleckede, Schulzentrum → Hohnstorf, Schule","Scharnebeck, Lübbelau → Scharnebeck, Adendorfer Straße → Hohnstorf, Triftweg → Hohnstorf, Am Sportzentrum → Rullstorf, Neumühlen → Neumühlen bei Rullstorf → Karze, An den Hauskoppeln → Hittbergen, Roggenberg → Hittbergen, Feldstraße → Neetze, Am Jahnstadion",55.35,83.0
