bus_id,region,stop_sequence,stop_name,num_pupils
N1,North,1,"Barförde, Poggenort",1
N1,North,2,"Wendewisch, Campingplatz",1
N1,North,3,"Wendewisch, Hittberger Straße 59",2
N1,North,4,"Neetze, Am Ried",1
N1,North,5,"Neetze, Am Dorfplatz",2
N1,North,6,"Neetze, Neetzebrücke",1
N1,North,7,"Hohnstorf, Ernst-Kissolewski-Straße",6
N2,North,1,"Boltersen, Bahnhofstraße",1
N2,North,2,"Brackede, Pferdekoppel",2
N2,North,3,"Neu Neetze, Am Milchberg",4
N2,North,4,"Neetze, Bahnhof",1
N2,North,5,"Neetze, Grundschule",3
N3,North,1,"Hohnstorf, Ernst-Kissolewski-Straße",1
N3,North,2,"Neu Neetze, Birkenhof",2
N3,North,3,"Hohnstorf, Kindergarten",1
N3,North,4,"Hohnstorf, Dorfstraße",4
N3,North,5,"Hohnstorf, Am Sportzentrum",1
N3,North,6,"Bleckede, Marschweg",1
N4,North,1,"Neu Jörgenstorf, Ort",1
N4,North,2,"Vogelsang, Ort",1
N4,North,3,"Hittbergen, Schönfeld",1
N4,North,4,"Barförde, Barförder Elbdeich 22",3
N4,North,5,"Hittbergen, Roggenberg",1
N4,North,6,"Hittbergen, Feldstraße",2
N4,North,7,"Hittbergen, Kirche",2
N4,North,8,"Hittbergen, Im Kamp",3
N4,North,9,"Hohnstorf, Schule",3
N5,North,1,"Jürgenstorf, Jürgenstorfer Straße",1
N5,North,2,"Hittbergen, Roggenberg",1
N5,North,3,"Hittbergen, Im Kamp",1
N5,North,4,"Bullendorf bei Echem, Am Buscheberg",1
N5,North,5,"Bullendorf bei Echem, Brücke",1
N5,North,6,"Echem, Schulstraße",1
N5,North,7,"Echem, Dorfstraße",1
N5,North,8,Echem,3
N5,North,9,"Scharnebeck, Lüneburger Straße",4
N5,North,10,"Scharnebeck, Hauptstraße",1
N5,North,11,"Scharnebeck, Adendorfer Straße",1
N5,North,12,"Scharnebeck, Lübbelau",2
N5,North,13,"Neetze, Am Jahnstadion",1
N5,North,14,"Neetze, Am Dorfplatz",4
N5,North,15,"Neetze, Grundschule",4
N5,North,16,"Hohnstorf, Am Sportzentrum",10
N5,North,17,"Hohnstorf, Schule",8
N6,North,1,Bleckede Mühlenweg (Garlstorf) 6,1
N6,North,2,"Garlstorf bei Bleckede, Dorfstraße 68",1
N6,North,3,"Garze, Große Straße 29",3
N6,North,4,"Garze, Große Straße 71",2
N6,North,5,"Karze, An den Hauskoppeln",1
N6,North,6,"Neu Boltersen, Neumühler Weg",1
N6,North,7,"Neu Boltersen, Möhlenkamp",4
N6,North,8,"Rullstorf, Alte Dorfstraße",1
N6,North,9,"Rullstorf, Im Ort",4
N6,North,10,"Neetze, Am Ried",2
N6,North,11,"Radegast, Zum Kirchplatz",5
N8,North,1,"Brackede, Pferdekoppel",1
N8,North,2,"Bleckeder Moor, Fuchsweg",1
N8,North,3,"Bleckeder Moor, Zweiter Moorweg",2
N8,North,4,"Neu Neetze, Haus Nr. 50",1
N8,North,5,"Neu Neetze, Denker",3
N8,North,6,"Garlstorf bei Bleckede, Dorfstraße 68",6
N8,North,7,"Garlstorf bei Bleckede, Dorfstraße 36",2
N8,North,8,"Neetze, Am Ried",3
N8,North,9,"Neetze, Bahnhof",7
N8,North,10,"Neetze, Am Dorfplatz",2
N8,North,11,"Neetze, Grundschule",1
N9,North,1,"Bullendorf bei Echem, Am Buscheberg",1
N9,North,2,"Neu Neetze, Birkenhof",1
N9,North,3,"Bleckeder Moor, Zweiter Moorweg",1
N9,North,4,"Boltersen, Rullstorfer Straße",4
N9,North,5,"Rullstorf, Alte Dorfstraße",1
N9,North,6,"Rullstorf, Im Ort",4
N9,North,7,"Scharnebeck, Meisterstraße",5
N10,North,1,"Brackede, Pferdekoppel",1
